kepid,pl_name,Score_Detection,Score_Habitability,Score_Type,Score_Radio,Priority__default,Priority__comms_heavy
3338885.0,Kepler-975 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
3328080.0,Kepler-1898 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11046025.0,Kepler-1759 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11075737.0,Kepler-97 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11090556.0,Kepler-1398 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11121752.0,Kepler-380 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11125613.0,Kepler-1254 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11125797.0,Kepler-1482 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11135308.0,Kepler-1352 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11192235.0,Kepler-1826 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11236244.0,Kepler-1246 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11253711.0,Kepler-1031 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11283615.0,Kepler-1355 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
3218908.0,Kepler-770 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
3128552.0,Kepler-1073 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11288051.0,Kepler-124 d,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11308499.0,Kepler-366 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
11337141.0,Kepler-1761 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
3433668.0,Kepler-1493 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
10925104.0,Kepler-114 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
10916600.0,Kepler-1293 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
9277896.0,Kepler-915 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
10468885.0,Kepler-1284 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
10513530.0,Kepler-589 c,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
3661886.0,Kepler-377 b,0.5,0.6,1.0,1.0,0.6849999999999999,0.73
