kepid,kepoi_name,fpp_prob,fpp_score,fpp_prob_heb,fpp_prob_ueb,fpp_prob_beb,fpp_prob_heb_dbl,fpp_prob_ueb_dbl,fpp_prob_beb_dbl,fpp_ror,fpp_steff,pp_host_rel_prob,pp_host_prob_score,pp_1hi_rel_prob,pp_2hi_rel_prob,pp_unk_rel_prob,fpp_fp_components_sum,radio_silence_risk,Radio_Silent,risk_threshold_0p75
7849854,K00897.01,0.0013,1.0,0.0013,2e-06,7.1e-06,6.1e-06,1.3e-07,2.9e-30,0.111,5858.0,1.0,1.0,1.0,0.0,1.614e-06,0.00131533,0.33210764506627705,0,0.6606315896878756
7870390,K00898.01,3.7e-05,1.0,1.5e-12,3.1e-17,3.7e-05,9.9e-09,2.1000000000000001e-13,7.9e-09,0.04,4035.0,1.0,1.0,1.0,0.0,2.789e-06,3.7017801710031e-05,0.3316871357919732,0,0.6606315896878756
11521048,K00540.01,1.0,1.0,0.098,0.89,0.0066,0.0003,0.0051,0.00015,0.363,5719.0,3.3e-101,1.0,1.0,3.3e-101,4.334e-06,1.00015,0.994014266515881,1,0.6606315896878756
11656721,K00541.01,3.6e-05,1.0,1.5e-13,4.3e-08,5.7e-06,5.3e-10,3.1e-05,1.1e-08,0.023,5462.0,1.0,1.0,1.0,1.6e-11,7.672e-06,3.675453015e-05,0.33168704919235453,0,0.6606315896878756
11669239,K00542.01,0.00025,1.0,2.8e-06,0.00017,7.6e-05,3e-10,2.5e-11,2.2e-08,0.029,5606.0,1.0,1.0,1.0,1.3999999999999999e-39,1.159e-05,0.000248822325,0.331757197698417,0,0.6606315896878756
11669239,K00542.02,0.0016,1.0,8.8e-07,1.5e-05,0.0011,5.1e-05,3.2e-05,0.00039,0.018,5610.0,1.0,0.95,1.0,5.1e-12,6.174e-05,0.00158888,0.33220128915215724,0,0.6606315896878756
11823054,K00543.01,0.00011,1.0,4.7e-08,2.7e-06,4.6e-07,5.6e-07,0.0001,1e-11,0.026,5202.0,1.0,1.0,1.0,0.0,4.332e-06,0.00010376701000000001,0.33171114377005634,0,0.6606315896878756
11823054,K00543.02,8.6e-05,1.0,2.3e-10,2.9e-11,8.1e-05,2.8e-06,7e-07,4.2e-07,0.016,5203.0,1.0,1.0,1.0,0.0,4.99e-05,8.4920259e-05,0.3317032488109088,0,0.6606315896878756
11913012,K00544.01,1.0,1.0,1.0999999999999999e-25,5.5e-21,1.5e-17,2.4e-05,0.0077,0.99,0.223,5930.0,0.0,1.0,0.0,0.0,0.9999,0.997724,0.6622899644805788,1,0.6606315896878756
11972666,K00545.01,5e-05,1.0,3.1000000000000002e-34,5.7e-24,4.5e-05,4.7e-09,6.4e-08,5e-06,0.012,5282.0,1.2e-76,0.88,1.2e-76,0.0,1.0,5.00687e-05,0.33334980376421125,0,0.6606315896878756
